# catalogo de jogos do Astra — nome de executavel -> titulo
# destilado de https://discord.com/api/v9/applications/detectable
# 11104 entradas · instantaneo de 2026-08-27
# refazer com: node tools/atualizar-catalogo-de-jogos.mjs
-arcane raise-/game.exe	Arcane Raise
call of war.exe	Call of War
call to exist/call to exist.exe	Tokyo Ghoul:re Call to Exist
call_to_arms.exe	Call to Arms
callofcthulhu.exe	Call of Cthulhu
caloriemate liquid for game creators/caloriemate liquid for game creators.exe	CalorieMate LIQUID FOR GAME CREATORS
camper van make it home/campervanmakeithome.exe	Camper Van: Make it Home
camping simulator the squad/camping_simulator_thesquad.exe	Camping Simulator: The Squad
canvas of kings/canvasofkings.exe	Canvas of Kings
canvas the gallery game/canvasthegallery.exe	Canvas the Gallery
capcom arcade 2nd stadium/capcomarcade2ndstadium.exe	Capcom Arcade 2nd Stadium
capcom arcade stadium/capcomarcadestadium.exe	Capcom Arcade Stadium
capcom fighting collection 2/capcomfightingcollection2.exe	Capcom Fighting Collection 2
capcom fighting collection/capcomfightingcollection.exe	Capcom Fighting Collection
capitalism 2/cap2.exe	Capitalism II
captain bones prologue/captain bones prologue.exe	Captain Bones
captain of industry/captain of industry.exe	Captain of Industry
captainspirit-win64-shipping.exe	The Awesome Adventures of Captain Spirit
capuchin/capuchin.exe	Capuchin
capybara the story of sisyphus/capybarastorysishyphus.exe	Capybara: The Story of Sisyphus
car dealership simulator 2/car dealership simulator 2.exe	Car Dealership Simulator 2
car dealership simulator/car dealership simulator.exe	Car Dealership Simulator
car detailing simulator prologue/car detailing simulator.exe	Car Detailing Simulator: Prologue
car detailing simulator/car detailing simulator.exe	Car Detailing Simulator
car for sale simulator 2023/car for sale simulator 2023.exe	Car For Sale Simulator 2023
car manufacture prologue/carmanufactureprologue.exe	Car Manufacture: Prologue
car manufacture/carmanufacture.exe	Car Manufacture
car mechanic simulator 2015 demo/cms2015demo.exe	Car Mechanic Simulator 2015 Demo
car mechanic simulator 2018 - vr/cms.exe	Car Mechanic Simulator VR
car mechanic simulator 2021 demo/car mechanic simulator 2021 demo.exe	Car Mechanic Simulator 2021 Demo
car mechanic simulator 2021/car mechanic simulator 2021.exe	Car Mechanic Simulator 2021
car mechanic simulator/cms.exe	Car Mechanic Simulator 2014
car trader simulator - welcome to the business/cts_prologue.exe	Car Trader Simulator: Welcome to the Business
carcassonne the official board game/carcassonne.exe	Carcassonne
card shark demo/card_shark.exe	Card Shark
card shark/card_shark.exe	Card Shark
cardboard town/card-board-town.exe	Cardboard Town
cardfight vanguard dear days demo/vg2.exe	Cardfight!! Vanguard Dear Days Demo
cardhunter.exe	Card Hunter
cardlife/cardlife.exe	CardLife
cards & tankards/cards & tankards.exe	Cards & Tankards
cards and castles 2/c2.exe	Cards and Castles 2
cards!/cards!.exe	Cards!
cargocommander.exe	Cargo Commander
caribbean crashers/cc.exe	Caribbean Legend
carmageddon1/dosbox/dosbox.exe	Carmageddon Max Pack
carrier command 2/carrier_command.exe	Carrier Command 2
carrier deck/autorun.exe	Carrier Deck
carrier.exe	Carrier Command: Gaea Mission
carrion demo/carrion.exe	CARRION Sneak Peek
carrion/carrion.exe	CARRION
cars 2/game-cars.exe	Cars 2
cars mater-national/cars_mater.exe	Cars Mater-National
cars/cars.exe	Cars
cart racer/cart_racer.exe	Cart Racer
cart to the end/cart to the end.exe	Cart To The End
carto demo/carto.exe	Carto Demo
carto/carto.exe	Carto
cartoon strike/cartoon strike.exe	Cartoon Strike
carx drift racing online/drift racing online.exe	CarX Drift Racing Online
carx street/carx street.exe	CarX Street
case animatronics/case.exe	CASE: Animatronics
casino simulator/casino simulator.exe	Casino Simulator
cassette beasts/cassettebeasts.exe	Cassette Beasts
cast n chill/castnchill.exe	Cast n Chill
cast/cast.exe	C.A.S.T
castle break/castlebreak_.exe	Castle Break
castle clicker/castleclicker.exe	Castle Clicker
castle flipper/castle flipper.exe	Castle Flipper
castle in the clouds/game_s.exe	Castle in the Clouds
castle of alchemists/castle of alchemists.exe	Castle of Alchemists
castle of illusion/coi.exe	Castle of Illusion Starring Mickey Mouse
castlecrashers/castle.exe	Castle Crashers
castlecrashersdemo/castle.exe	Castle Crashers Demo
castleminerz.exe	CastleMiner Z
castlestorm/castlestorm.exe	CastleStorm
castlevania advance collection/game.exe	Castlevania Advance Collection
castlevania anniversary collection/game.exe	Castlevania Anniversary Collection
castlevania dominus collection/game.exe	Castlevania Dominus Collection
castlevania lords of shadow - mirror of fate hd/cmof.exe	Castlevania: Lords of Shadow - Mirror of Fate HD
casual desktop game/dnycasualdeskgame.exe	Casual Desktop Game
cat cafe manager/catcafe.exe	Cat Cafe Manager
cat god ranch/catgodranch.exe	Cat God Ranch
cat goes fishing/cat goes fishing.exe	Cat Goes Fishing
cat in the box/game.exe	Cat in the Box
cat quest demo/cat quest.exe	Cat Quest Demo
cat quest ii demo/cat quest ii.exe	Cat Quest II Demo
cat quest ii/cat quest ii.exe	Cat Quest II
cat quest/cat quest.exe	Cat Quest
cataclismo/cataclismo.exe	Cataclismo
cataclysm-tiles.exe	Cataclysm: Dark Days Ahead
catan universe/catanuniverse.exe	Catan Universe
catch me if you can/catchmeifyoucan.exe	Catch Me If You Can
catgirl lover/catgirl lover.exe	CATGIRL LOVER
catherineclassic/catherine.exe	Catherine Classic
catlateraldamage/catlateraldamage.exe	Catlateral Damage
catquest_purribean/cat quest iii.exe	Cat Quest III
cats and seek  kyoto/cats and seek  kyoto.exe	Cats and Seek: Kyoto
cats and seek at dino park/cats and seek at dino park.exe	Cats and Seek: Dino Park
cats and seek toge land/cats and seek togeland.exe	Cats and Seek: Toge Land
cats and seek/cats and seek.exe	Cats and Seek: Osaka
cats hidden in bali/cats hidden in bali.exe	Cats Hidden in Bali
cats hidden in christmas/cats hidden in christmas.exe	Travellin Cats in Christmas
cats hidden in italy/cats hidden in italy.exe	Cats Hidden in Italy
cats hidden in jingle jam/cats hidden in jingle jam.exe	Travellin Cats in Jingle Jam
cats hidden in paris/cats hidden in paris.exe	Travellin Cats in Paris
cats in time/catsintime.exe	Cats in Time
cats organized neatly/cats organized neatly.exe	Cats Organized Neatly
cats/cats.exe	Cats
cattails wildwood story/cattails - wildwood story.exe	Cattails: Wildwood Story
cattails/cattails.exe	Cattails
cattle and crops/cattleandcrops.exe	Professional Farmer: Cattle and Crops
catto pew pew!/catto pew pew!.exe	Catto Pew Pew!
catwifhat/catwifhat.exe	Catwifhat
cauldron/cauldron.exe	Cauldron
cave crawler/cavecrawler.exe	Cave Crawler
cave crawlers/cave crawlers.exe	Cave Crawlers
cave digger/cavedigger.exe	Cave Digger VR
caveblazers together/caveblazers.exe	Caveblazers: Together
caveblazers/game.exe	Caveblazers
caveman world mountains of unga boonga/caveman world.exe	Caveman World: Mountains of Unga Boonga
cavern of dreams/cavern of dreams.exe	Cavern of Dreams
caves of qud/coq.exe	Caves of Qud
cbeub/cbeub.exe	Capcom Beat 'Em Up Bundle
cbm/cbm.exe	City Bus Manager
celeste.exe	Celeste
cell to singularity/celltosingularity.exe	Cell to Singularity
chained echoes/chained echoes.exe	Chained Echoes
chained in the backrooms/chained in the backrooms.exe	Chained in the Backrooms
chair fucking simulator/chairfucker.exe	Chair F*cking Simulator
chair simulator/chair simulator.exe	Chair Simulator
chambers build/chambers.exe	Chambers: The Outlaw
champions online/champions online.exe	Champions Online
changed/game.exe	Changed
chants of sennaar/chants of sennaar.exe	Chants of Sennaar
chaos combat chess/tremor.exe	Chaos Combat Chess
chaos on deponia/deponia2.exe	Chaos on Deponia
chaos;head noah/game_steam.exe	Chaos;Head Noah
chaoscode_nsoc/chaoscode.exe	Chaos Code: New Sign of Catastrophe
chaosgate/chaosgate.exe	Warhammer 40,000: Chaos Gate - Daemonhunters
chaosrebornwin64.exe	Chaos Reborn
charlie murder/charliemurder.exe	Charlie Murder
chasing tails -a promise in the snow-/chasingtails.exe	Chasing Tails: A Promise in the Snow
chasm/chasm.exe	Chasm
cheaters cheetah/cheaterscheetah.exe	Cheaters Cheetah
check it out!/check it out!.exe	Check it Out!
cheeky chooks/cheekychooks.exe	Cheeky Chooks
cheese rolling/cheeserolling.exe	Cheese Rolling
cheesegamebuild/cheese game.exe	Cheese Game
chef life  a restaurant simulator/chef life  a restaurant simulator.exe	Chef Life: A Restaurant Simulator
chef rpg/chef rpg.exe	Chef RPG
chef/chefgame.exe	Chef
chernobyl liquidators simulator demo/chernobyl liquidators simulator.exe	Chornobyl Liquidators
chess evolved online/ceo.exe	Chess Evolved Online
chess for idiots/chess for idiots.exe	Chess for Idiots
chess'extra/chess'extra.exe	Chess'Extra
chess/chess.exe	Simply Chess
chess2.exe	Chess 2
chicken farm 2k17/cfs_2k17_v2.exe	Chicken Farm 2K17
chicken invaders 2/ci2rm.exe	Chicken Invaders 2: The Next Wave
chicken invaders 3/ci3.exe	Chicken Invaders 3
chicken invaders 4/ci4.exe	Chicken Invaders 4: Ultimate Omelette
chicken invaders 5/ci5.exe	Chicken Invaders 5: Cluck of the Dark Side
chicken invaders universe/ciu.exe	Chicken Invaders Universe
chicken police/chicken_police.exe	Chicken Police
chicken shoot/kurka.exe	Chicken Shoot Gold
childoflight.exe	Child of Light
children of a dead earth/cde.exe	Children of a Dead Earth
childrenofmorta/childrenofmorta.exe	Children of Morta
childrenofsilentown/childrenofsilentown.exe	Children of Silentown
childrenofsilentownprologue/childrenofsilentown.exe	Children of Silentown: Prologue
childrenofthesun/childrenofthesun.exe	Children of the Sun
chill corner/chill corner.exe	Chill Corner
chilloutvr/chilloutvr.exe	ChilloutVR
chillpulse/chillpulse.exe	Chill Pulse
chillquarium/chillquarium.exe	Chillquarium
chineseparent/game.exe	Chinese Parents
chip's challenge 1/chips1.exe	Chip's Challenge 1
chippy/chippy.exe	Chippy
chkn/chkn.exe	CHKN
chocolate factory simulator prologue/chocolate factory simulator prologue.exe	Chocolate Factory Simulator
choice chamber/choicechamber.exe	Choice Chamber
choice of life middle ages 2/choice of life - middle ages 2.exe	The Choice of Life: Middle Ages 2
chonkers/chonkers.exe	Chonkers
choo-choose/choo-choose.exe	Choo-Choose
chop goblins/chop goblins.exe	Chop Goblins
choushougi/choushougi.exe	Chou Shogi
christmas massacre/christmas massacre.exe	Christmas Massacre
chromasquad/chromasquad.exe	Chroma Squad
chronicle.exe	Chronicle: RuneScape Legends
chronicon.exe	Chronicon
chrono trigger/chrono trigger.exe	Chrono Trigger
chronoshot/chronoshot.exe	Chronoshot
chuchel/chuchel.exe	CHUCHEL
churnvector/churnvector.exe	Churn Vector
chusingura46+1/chusingura46+1.exe	ChuSingura46+1 S
cicadamata demo disc/cicadamata_demo.exe	CICADAMATA" Demo Disc
cinema simulator 2025/cinema simulator 2025.exe	Cinema Simulator 2025
circle empires multiplayer/circle empires rivals.exe	Circle Empires Rivals
circle empires/circle empires.exe	Circle Empires
circle of sumo online rumble!/circle of sumo - online rumble.exe	Circle of Sumo: Online Rumble!
circuit superstars/circuit-superstars.exe	Circuit Superstars
citadelum/citadelum.exe	Citadelum
cities in motion 2/cim2.exe	Cities in Motion 2
cities in motion.exe	Cities in Motion
cities skylines ii/cities2.exe	Cities: Skylines II
cities.exe	Cities: Skylines
citizen sleeper 2 starward vector/citizen sleeper 2.exe	Citizen Sleeper 2: Starward Vector
citizen sleeper/citizen sleeper.exe	Citizen Sleeper
city game studio/citygamestudio64.exe	City Game Studio
city idle/cityidle.exe	City Idle
city lights love bites season 0 [pilot season]/citylightsandlovebites.exe	City Lights Love Bites Season 0
city of gangsters/cog.exe	City of Gangsters
citystate ii/citystate ii.exe	Citystate II
citystate/citystate.exe	Citystate
citywars tower defense/citywarssavage.exe	Citywars Tower Defense
civcity rome/civcity rome.exe	CivCity: Rome
cividle/cividle.exe	Cividle
civilization iv colonization/colonization.exe	Sid Meier's Civilization IV: Colonization
civilization4.exe	Sid Meier's Civilization IV: Complete Edition
civilizationbe_dx11.exe	Sid Meier's Civilization: Beyond Earth
civilizationbe_mantle.exe	Sid Meier's Civilization: Beyond Earth
civilizationv_dx11.exe	Sid Meier's Civilization V
civilizationvi.exe	Sid Meier's Civilization VI
ck2game.exe	Crusader Kings II
claire's quest/game.exe	Claire's Quest
clanfolk demo/clanfolk.exe	Clanfolk Demo
clanfolk/clanfolk.exe	Clanfolk
clank/clank.exe	Clank!
clannad side stories/realliveen.exe	CLANNAD Side Stories
clannad/realliveen.exe	CLANNAD
class_of_09-1.2/class_of_09.exe	Class of '09
classic marathon 2/classic marathon 2 steam.exe	Classic Marathon 2
classic marathon/classic marathon steam.exe	Classic Marathon
classic racers/classic_racers.exe	Classic Racers
classic sudoku/classic sudoku.exe	Classic Sudoku
classified france 44/classifiedfrance44.exe	Classified: France '44
classroom aquatic demo/game.exe	Classroom Aquatic
clatter/clatter.exe	Clatter
cleaner/cleaner-btd6.exe	Bloons TD 6
cleaning simulator/freshstart.exe	Fresh Start
click and conquer/click and conquer.exe	Click and Conquer
click click dig prologue/click click dig prologue.exe	Click Click Dig: Idle Mine
click mage/clickmage.exe	Click Mage
click to ten/click to ten.exe	click to ten
clicker guardians/clicker guardians.exe	Clicker Guardians
clicker guild/guild.exe	Clicker Guild
clicker heroes 2/clickerheroes2.exe	Clicker Heroes 2
clicker heroes.exe	Clicker Heroes
clicktoeleven/clicktoeleven.exe	Click To Eleven
clickyland/clickyland.exe	clickyland
client/cryofall_client.exe	CryoFall
client/dwarfheim.exe	DwarfHeim
client/edenrising.exe	Eden Rising
client/infinite_lagrange_gb.exe	Infinite Lagrange
client/proven_ground_client.exe	Conqueror's Blade
client_2962300/rqmain.exe	Royal Quest Online
client_tos.exe	Tree of Savior
climb/climb.exe	Climb
climber animals together/climber animals together.exe	Climber Animals: Together
climber sky is the limit - free trial/climber sky is the limit.exe	Climber: Sky is the Limit
climbey/climbey.exe	Climbey
clone drone in the danger zone.exe	Clone Drone in the Danger Zone
clone drone in the hyperdome/clone drone in the hyperdome.exe	Clone Drone in the Hyperdome
clonk.exe	Clonk Rage
closers/cw.exe	Closers
clothingstoresimulator/clothing store simulator.exe	Clothing Store Simulator
clothingstoresimulatorprologue/clothing store simulator prologue.exe	Clothing Store Simulator: Prologue
cloud gardens/cloud gardens.exe	Cloud Gardens
cloud meadow/cloud meadow.exe	Cloud Meadow
cloudbuilt.exe	Cloudbuilt
cloudpunk/cloudpunk.exe	Cloudpunk
cloudsandsheep2.exe	Clouds & Sheep 2
cloverpit/cloverpit.exe	Cloverpit
clown house/clownhouse.exe	Clown House
clownfield 2042/clownfield 2042.exe	Clownfield 2042
clragexe.exe	Ragnarok Online
club soccer director 2021/csd21.exe	Club Soccer Director 2021
clue/cluedo.exe	Clue/Cluedo: Classic
cluecluedo/cluecluedo.exe	Clue/Cluedo
clustertruck.exe	Clustertruck
cm black sea.exe	Combat Mission: Black Sea
cm shock force.exe	Combat Mission: Shock Force
cm3.exe	Crazy Machines 3
cms2015.exe	Car Mechanic Simulator 2015
cms2018.exe	Car Mechanic Simulator 2018
cmw.exe	Chivalry: Medieval Warfare
cnc3ep1.exe	Command & Conquer 3: Kane's Wrath
cncremastered/clientg.exe	Command & Conquer Remastered Collection
coal llc/coal llc.exe	Coal LLC
coal mining simulator prologue/coal mining simulator.exe	Coal Mining Simulator: Prologue
cobalt core/cobaltcore.exe	Cobalt Core
cockhead/cockhead.exe	Cockhead
cockroach_simulator/cs.exe	Cockroach Simulator
cockwork industries/cockwork industries.exe	Cockwork Industries Complete
cocoon/universe.exe	COCOON
cod.exe	Call of Duty: Modern Warfare 4
cod23/cod23-cod.exe	Call of Duty: Modern Warfare III
cod25-cod.exe	Call of Duty: Black Ops 7
cod26-cod.exe	Call of Duty: Modern Warfare 4
cod2mp_s.exe	Call of Duty 2
cod2sp_s.exe	Call of Duty 2
codename cure/cure.exe	Codename CURE
codename gordon/cg.exe	Codename: Gordon
codwaw.exe	Call of Duty: World at War
codwawmp.exe	Call of Duty: World at War
cof.exe	Cry of Fear
coffee caravan/coffee caravan.exe	Coffee Caravan
coffee talk demo/coffeetalk.exe	Coffee Talk Demo
coffee talk episode 2 hibiscus & butterfly/cthb.exe	Coffee Talk: Episode 2 - Hibiscus & Butterfly
coffee talk/coffeetalk.exe	Coffee Talk
cogmind/cogmind.exe	Cogmind
coin factory/coinfactory.exe	Coin Factory
coin flipper/coin flipper.exe	Coin Flipper
coin pusher casino/coin pusher casino.exe	Coin Pusher Casino
coin/coin.exe	Coin
coj gunslinger/cojgunslinger.exe	Call of Juarez: Gunslinger
coj.exe	Call of Juarez
coj_dx10.exe	Call of Juarez
cojbibgame_x86.exe	Call of Juarez: Bound In Blood
cojgunslinger.exe	Call of Juarez - Gunslinger
cold fear/coldfear_retail.exe	Cold Fear
cold waters/coldwaters.exe	Cold Waters
colin mcrae rally/cmr.exe	Colin McRae Rally
college bound/collegebound.exe	College Bound
college kings 2/collegekings2.exe	College Kings 2: Episode 1
college kings/collegekings.exe	College Kings
colonize prologue/colonize.exe	Colonize Prologue
colony simulator/colony simulator.exe	Colony Simulator
colony survival/colonyclient.exe	Colony Survival
coloring book for kids/coloring book for kids.exe	Coloring Book for Kids
coloring book/coloring book for adults.exe	Coloring Book
coloring game 2/game.exe	Coloring Game 2
coloring game 3/game.exe	Coloring Game 3
coloring game 4/game.exe	Coloring Game 4
coloring game 5/game.exe	Coloring Game 5
coloring game the little city/game.exe	Coloring Game: Little City
coloring game/game.exe	Coloring Game
coloring voxels/coloringvoxels.exe	Coloring Voxels
coloringpixels.exe	Coloring Pixels
colt canyon/coltcanyon.exe	Colt Canyon
com.supercell.clashroyale.exe	Clash Royale
com3d2inm/com3d2.exe	Custom Order Maid 3D2
coma/bad dream coma.exe	Bad Dream: Coma
combat arms reloaded/engine.exe	CombatArms: Reloaded
combat arms the classic/engine_be.exe	Combat Arms: the Classic
combat arms/engine.exe	Combat Arms
combat master/combatmaster.exe	Combat Master
combatarms.exe	Combat Arms
come home/comehome.exe	Come Home.
come with me/comewithme.exe	Come with Me
comedy night.exe	Comedy Night
command & conquer red alert 3 demo/ra3demo.exe	Red Alert 3 Demo
command & conquer red alert ii/game.exe	Command & Conquer: Red Alert™ 2 and Yuri’s Revenge™
command & conquer renegade/wwconfig.exe	Command & Conquer: Renegade
command & conquer tiberian sun/game.exe	Command & Conquer: Tiberian Sun and Firestorm
command & conquer/c&c95.exe	Command & Conquer and The Covert Operations
command and conquer 3 tiberium wars/cnc3.exe	Command & Conquer 3: Tiberium Wars
command and conquer 4 tiberian twilight/cnc4.exe	Command & Conquer 4: Tiberian Twilight
command and conquer red alert 3/ra3.exe	Command & Conquer: Red Alert 3
command modern air  naval operations/command.exe	Command: Modern Air / Naval Operations WOTY
commander keen/base1/dosbox.exe	Commander Keen Complete Pack
commandos 2 men of courage/comm2.exe	Commandos 2: Men of Courage
commandos 3 destination berlin/commandos3.exe	Commandos 3: Destination Berlin
commandos behind enemy lines/comandos.exe	Commandos: Behind Enemy Lines
commandos beyond the call of duty/coman_mp.exe	Commandos: Beyond the Call of Duty
commissar escape simulator/commissar escape simulator.exe	Military Enlistment Office Escape Simulator
common/master levels of doom/dosbox.exe	Master Levels for Doom II
common/one unit whole blood/dosbox.exe	Blood: One Unit Whole Blood
common/tanki online.exe	Tanki Online
common/tomb raider (i)/dosbox.exe	Tomb Raider I
common/xcom ufo defense/dosbox.exe	X-COM: UFO Defense
company of heroes 3/reliccoh3.exe	Company of Heroes 3
compound demo/compound.exe	COMPOUND Demo
compound/compound.exe	COMPOUND
conan chop chop/conan chop chop.exe	Conan Chop Chop
conan the mighty pig/conan_the_mighty_pig1.0.exe	Conan the mighty pig
conan unconquered/clientg.exe	Conan Unconquered
conansandbox.exe	Conan Exiles
conansandbox_be.exe	Conan Exiles
concluse/concluse.exe	Concluse
concrete jungle/concrete jungle.exe	Concrete Jungle
condemned criminal origins/condemned.exe	Condemned: Criminal Origins
condo desires/condodesires.exe	Condo Desires
confessmylove/game.exe	Confess My Love
conflict of nations/conflict of nations.exe	Conflict of Nations: World War 3
conflict_desert_storm/desertstorm.exe	Conflict: Desert Storm
conquest dark/conquest dark.exe	Conquest Dark
conquestofelysium5/coe5.exe	Conquest of Elysium 5
conquests/civ3conquests.exe	Sid Meier's Civilization III: Complete
conscript/conscript.exe	CONSCRIPT
consim2015.exe	Construction Simulator 2015
construct2-win64/construct2.exe	Construct 2 Free
construction crew demo/construction crew (demo).exe	Construction Crew (Demo)
construction simulator 2 us - pocket edition/consim2uspe.exe	Construction Simulator 2
construction simulator/consim.exe	Construction Simulator
contagion.exe	Contagion
containers/containers.exe	Containers
content warning/content warning.exe	Content Warning
content/minecraft.exe	Minecraft
content/seaofthieves.exe	Sea of Thieves
content/vampiresurvivors.exe	Vampire Survivors
contra anniversary collection/game.exe	Contra Anniversary Collection
contra operation galuga/contraog.exe	Contra: Operation Galuga
contraband police demo/contrabandpolice.exe	Contraband Police Demo
contraband police prologue/contrabandpolice.exe	Contraband Police: Prologue
contraband police/contrabandpolice.exe	Contraband Police
contractors showdown/contractorsshowdown.exe	Contractors Showdown
contraptionmaker/contraptionmaker.exe	Contraption Maker
control/control_dx11.exe	Control
control_dx11.exe	Control
control_dx12.exe	Control
convergence/convergence.exe	Convergence: A League of Legends Story
convoy/convoy.exe	Convoy
convrgence/convrgence.exe	Convrgence
cookard/cookard.exe	Cookard
cookie clicker/cookie clicker.exe	Cookie Clicker
cookie cutter/cookiecutter.exe	Cookie Cutter
cookiesvsclaus/cookiesvsclaus.exe	Cookies vs. Claus
cooking craze/cc.exe	Cooking Craze
cooking live restaurant game/cl.exe	Cooking Live
cooking simulator vr/cookingsimulatorvr.exe	Cooking Simulator VR
cookingsimulator/cookingsim.exe	Cooking Simulator
cookservedelicious3/csd3.exe	Cook, Serve, Delicious! 3?!
copa petrobras de marcas/marcas.exe	Copa Petrobras de Marcas
copycat/copycat.exe	Copycat
core keeper demo/corekeeper.exe	Core Keeper Demo
core keeper/corekeeper.exe	Core Keeper
corn kidz 64/corn kidz 64.exe	Corn Kidz 64
cornerpond/cornerpond.exe	Cornerpond
coromon/coromon.exe	Coromon
corpse party book of shadows/bookofshadows.exe	Corpse Party: Book of Shadows
corpse party rf/corpseparty.exe	Corpse Party (2021)
corpse party/corpseparty.exe	Corpse Party
corruption of champions ii/coc ii.exe	Corruption of Champions II
corruption town/corruptiontown.exe	Corruption Town
cortex command.exe	Cortex Command
cosmic dust & rust/cosmic.exe	Cosmic Dust & Rust
cosmic express/cosmic express.exe	Cosmic Express
cosmic.exe	Cosmic Break
cosmicbreak/cosmicbreak.exe	CosmicBreak Universal
cosmicbreak2.exe	CosmicBreak2
cosmicleague.exe	CosmicLeague_US
cossacks 3/cossacks.exe	Cossacks 3
cossacks art of war/dmcr.exe	Cossacks: The Art of War
cossacks european wars/dmcr.exe	Cossacks: European Wars
cossacks ii battle for europe/engine.exe	Cossacks II: Battle for Europe
cossacks ii napoleonic wars/engine.exe	Cossacks II: Napoleonic Wars
costume quest/cq.exe	Costume Quest
costumeparty/costumeparty.exe	Costume Party
cotl_demo_win/cult of the lamb.exe	Cult of the Lamb Demo
couchcoopmono2/plateup.exe	PlateUp! Demo
counter-strike source/hl2.exe	Counter-Strike: Source
counterattack/counterattack.exe	CounterAttack: Uprising
counterside/counterside.exe	Counterside
countersnipe/countersnipe.exe	Countersnipe
cover fire/cover fire.exe	Cover Fire
cozy caravan/cozycaravan.exe	Cozy Caravan
cozy grove/cozygrove.exe	Cozy Grove
cozy organizer/cozy organizer.exe	Cozy Organizer
cpucores/cpucores.exe	CPUCores :: Maximize Your FPS
crab game/crab game.exe	Crab Game
crabchampions-win64-shipping.exe	Crab Champions
crafting idle clicker/crafting idle clicker.exe	Crafting Idle Clicker
craftopia/craftopia.exe	Craftopia
crafttheworld/craftworld.exe	Craft the World
crash bandicoot - n sane trilogy/crashbandicootnsanetrilogy.exe	Crash Bandicoot N. Sane Trilogy
crash drive 2/crash drive 2.exe	Crash Drive 2
crash wheels/crash wheels.exe	Crash Wheels
crashbandicootnsanetrilogy.exe	Crash Bandicoot N. Sane Trilogy
crashday/crashday.exe	Crashday: Redline Edition
crashlands/crashlands.exe	Crashlands
crashmetal/crashmetal.exe	CrashMetal: Cyberpunk
crashphalt/crashphalt.exe	Crashphalt
crawl.exe	Crawl
crayon physics deluxe/crayon.exe	Crayon Physics Deluxe
crazy dreamz/dreamz.exe	MagiCats Builder
crazy foods/crazy foods.exe	Crazy Foods
crazy taxi/crazy taxi.exe	Crazy Taxi
crea/crea.exe	Crea
creaks/creaks.exe	Creaks
creativedestruction/client.exe	CreativeDestruction
creativerse.exe	Creativerse
creature creator/creature creator.exe	Creature Creator
creature kitchen/creature kitchen.exe	Creature Kitchen
creatures of aether/creaturesofaether.exe	Creatures of Aether
creeper world 2.exe	Creeper World 2
creeper world 2/creeperworld2.exe	Creeper World 2: Redemption - Anniversary Edition
creeper world 4 demo/cw4.exe	Creeper World 4 Demo
creeper world 4/cw4.exe	Creeper World 4
creeper world/creeperworld.exe	Creeper World: Anniversary Edition
creepy tale/creepytale.exe	Creepy Tale
creo god simulator/creo god simulator.exe	Creo God Simulator
cricket 19/ashes.exe	Cricket 19
cricket 24/cricket24.exe	Cricket 24
crime scene cleaner prologue/crimecleaner.exe	Crime Scene Cleaner: Prologue
crime scene cleaner/crimecleaner.exe	Crime Scene Cleaner
crime simulator demo/crime simulator demo.exe	Crime Simulator (DEMO)
crime simulator prologue/crime simulator prologue.exe	Crime Simulator: Prologue
crime simulator/crime simulator.exe	Crime Simulator
crimesight/crimesight.exe	CRIMESIGHT
crimsonland.exe	Crimsonland
crimzon clover/crimzonclover_wi.exe	Crimzon Clover: World Ignition
critter clicker/critter clicker.exe	Critter Clicker
critter cove/critter cove.exe	Critter Cove
critterchronicles.exe	The Book of Unwritten Tales: The Critter Chronicles
croakoloco/croakoloco.exe	Croakoloco
crookz.exe	Crookz: The Big Heist
croppy boy/croppy.exe	Croppy Boy
cross blitz/cross blitz.exe	Cross Blitz
crosscells/crosscells.exe	CrossCells
crosscode-beta.exe	CrossCode
crosscode/crosscode.exe	CrossCode
crossfire br/crossfire.exe	CrossFire BR
crossfire.exe	Crossfire
crossingsouls/crossingsouls.exe	Crossing Souls
crossout-d3d9.exe	Crossout
crossout.exe	Crossout
crossroads inn/crossroads inn.exe	Crossroads Inn
crow country/crow country.exe	Crow Country
crowfallclient.exe	Crowfall
crown trick/crowntrick.exe	Crown Trick
cruel/cruel.exe	Cruel
cruelty squad/crueltysquad.exe	Cruelty Squad
crumb/crumb.exe	Crumb Circuit Simulator
crumble demo/crumble.exe	Crumble Demo
crumble/crumble.exe	Crumble
crusader2.exe	Stronghold Crusader II
crusaders of the lost idols/crusaders of the lost idols.exe	Crusaders of the Lost Idols
crusadersoflight/col.exe	Crusaders of Light
crushcrush.exe	Crush Crush
crustacean nations/crustaceannations.exe	Crustacean Nations
crying suns demo/cs.exe	Crying Suns Demo
crying suns/cs.exe	Crying Suns
crypt custodian/cryptcustodian.exe	Crypt Custodian
crypt/crypt.exe	Crypt
cryptark.exe	Cryptark
cryptmaster/cryptmaster.exe	Cryptmaster
crypto miner tycoon simulator starter edition/game.exe	Crypto Miner Tycoon Simulator
crypto mining simulator/crypto mining simulator.exe	Crypto Mining Simulator
cryptoclickers crypto idle game/cryptoclickers.exe	CryptoClickers
crysis wars/bin64/crysis.exe	MechWarrior: Living Legends
crysis.exe	Crysis
crysis2.exe	Crysis 2: Maximum Edition
crysis3.exe	Crysis 3
crysis64.exe	Crysis
crystal clash/crystalclash.exe	Crystal Clash
crystal maidens/crystal maidens.exe	Crystal Maidens
crystal project/crystal project.exe	Crystal Project
cs2d.exe	CS2D
csd2.exe	Cook, Serve, Delicious! 2!!
